date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:07%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/doted-bull.gif	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/doted-bull.gif	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:05	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:07%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/none-bull.gif	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/none-bull.gif	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:05	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/welcome-strip-bg.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/welcome-strip-bg.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:05	1225/1225	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Sep%202023%2010:20:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/form-title-strip.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/form-title-strip.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/water-mark.gif	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/water-mark.gif	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:09%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/busy.gif	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/busy.gif	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:09%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/cla-edit.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/cla-edit.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:07	1434/1434	---M--	200	added ('OK')	image/gif	date:Mon,%2011%20Sep%202023%2010:20:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/btn-bg.gif	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/btn-bg.gif	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/main.css)
09:30:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:10%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/refresh1.png	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/refresh1.28.delayed	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/main.css)
09:30:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:11%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/tooltip-arrow.gif	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/tooltip-arrow.gif	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/main.css)
09:30:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:11%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/submit-btn.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/submit-btn.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/main.css)
09:30:09	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:11%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/jquery.ui.base.css	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/jquery.ui.base.css	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/jquery.ui.all.css)
